ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
1,What is the speed of light in a vacuum?,"300,000 km/s","150,000 km/s","450,000 km/s","600,000 km/s",A,45,No explaination given
2,The first law of thermodynamics is essentially a statement of:,Conservation of energy,Entropy,Heat engines,Temperature scales,A,45,No explaination given
3,The photoelectric effect demonstrates that light has:,Wave properties,Particle properties,Both wave and particle properties,Neither,B,45,No explaination given
4,What causes a supernova?,Star collapse,Black hole formation,Galaxy collision,Dark matter,A,45,No explaination given
5,Who proposed the theory of relativity?,Newton,Einstein,Galileo,Bohr,B,45,No explaination given
6,"Which of Newton's Laws states 'for every action, there's an equal and opposite reaction'?",First,Second,Third,Law of Gravitation,C,45,No explaination given
7,Which electromagnetic wave has the longest wavelength?,Radio waves,Microwaves,X-rays,Gamma rays,A,45,No explaination given
8,Which particle is not part of an atom's nucleus?,Proton,Neutron,Electron,All are in nucleus,C,45,No explaination given
9,What is the SI unit of pressure?,Newton,Pascal,Joule,Watt,B,45,No explaination given
10,What is the quantum of light called?,Proton,Neutron,Photon,Electron,C,45,No explaination given
11,Heat transfer through electromagnetic waves is called:,Conduction,Convection,Radiation,Diffusion,C,45,No explaination given
12,What is the unit of electrical resistance?,Volt,Ampere,Ohm,Watt,C,45,No explaination given
13,What phenomenon causes a rainbow?,Reflection,Refraction,Dispersion,All of the above,D,45,No explaination given
14,Which lens causes light rays to converge?,Concave,Convex,Plano-concave,Biconcave,B,45,No explaination given
15,What is the process of splitting heavy nuclei called?,Fusion,Fission,Decay,Transmutation,B,45,No explaination given
16,An object submerged in fluid experiences an upward force called:,Gravity,Buoyancy,Friction,Tension,B,45,No explaination given
17,The half-life of a radioactive element is the time for:,Half the atoms to decay,All atoms to decay,Double the atoms to form,Radiation to halve,A,45,No explaination given
18,What particle is emitted in beta decay?,Proton,Neutron,Electron,Photon,C,45,No explaination given
19,What principle explains why airplanes fly?,Pascal's,Archimedes',Bernoulli's,Newton's,C,45,No explaination given
20,What is the closest star to Earth?,Alpha Centauri,Betelgeuse,Sirius,The Sun,D,45,No explaination given
21,What is the acceleration due to gravity on Earth's surface (approx)?,6.67 m/s²,9.81 m/s²,10.2 m/s²,11.5 m/s²,B,45,No explaination given
22,Sound waves are:,Longitudinal,Transverse,Electromagnetic,Circular,A,45,No explaination given
23,Which material is a good conductor of electricity?,Rubber,Glass,Copper,Plastic,C,45,No explaination given
24,What is the SI unit of force?,Joule,Watt,Newton,Pascal,C,45,No explaination given
25,Which temperature scale has its zero point at absolute zero?,Fahrenheit,Celsius,Kelvin,Rankine,C,45,No explaination given
