category,subcategory,question,option1,option2,option3,option4,answer
SCIENCE,Chemistry,Which state of matter has definite volume but no definite shape?,Solid,Liquid,Gas,Plasma,b
SCIENCE,Biology,What is the shape of DNA?,Single helix,Double helix,Triple helix,Straight chain,b
SCIENCE,Physics,What is the speed of light in a vacuum?,"300,000 km/s","150,000 km/s","450,000 km/s","600,000 km/s",a
SCIENCE,Chemistry,What is the product when an acid reacts with a base?,Salt and water,Hydrogen gas,Carbon dioxide,Alcohol,a
SCIENCE,Physics,The first law of thermodynamics is essentially a statement of:,Conservation of energy,Entropy,Heat engines,Temperature scales,a
SCIENCE,Chemistry,Which molecule has a double covalent bond?,H2,O2,N2,CH4,b
SCIENCE,Chemistry,What is the standard temperature in Kelvin?,0,100,273,373,c
SCIENCE,Biology,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic reticulum,b
SCIENCE,Biology,Which plant hormone promotes growth?,Abscisic acid,Ethylene,Auxin,Cytokinin,c
SCIENCE,Biology,Which animal has the largest brain relative to body size?,Elephant,Dolphin,Human,Blue whale,c
SCIENCE,Biology,What is the term for an organism's role in its ecosystem?,Habitat,Niche,Biome,Community,b
SCIENCE,Physics,The photoelectric effect demonstrates that light has:,Wave properties,Particle properties,Both wave and particle properties,Neither,b
SCIENCE,Physics,What causes a supernova?,Star collapse,Black hole formation,Galaxy collision,Dark matter,a
SCIENCE,Physics,What causes a supernova?,Star collapse,Black hole formation,Galaxy collision,Dark matter,a
SCIENCE,Chemistry,What is the standard temperature in Kelvin?,0,100,273,373,c
SCIENCE,Physics,Who proposed the theory of relativity?,Newton,Einstein,Galileo,Bohr,b
SCIENCE,Chemistry,Which state of matter has definite volume but no definite shape?,Solid,Liquid,Gas,Plasma,b
SCIENCE,Chemistry,What color does litmus paper turn in acid?,Red,Blue,Green,Yellow,a
SCIENCE,Physics,"Which of Newton's Laws states 'for every action, there's an equal and opposite reaction'?",First,Second,Third,Law of Gravitation,c
SCIENCE,Chemistry,Which molecule has a double covalent bond?,H2,O2,N2,CH4,b
SCIENCE,Chemistry,What is the general formula for alkanes?,CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,b
SCIENCE,Chemistry,What is the standard temperature in Kelvin?,0,100,273,373,c
SCIENCE,Biology,How many chromosomes do humans normally have?,23,46,64,92,b
SCIENCE,Biology,What is the shape of DNA?,Single helix,Double helix,Triple helix,Straight chain,b
SCIENCE,Biology,What is the male reproductive part of a flower called?,Pistil,Stamen,Sepal,Petal,b
SCIENCE,Physics,Which electromagnetic wave has the longest wavelength?,Radio waves,Microwaves,X-rays,Gamma rays,a
SCIENCE,Chemistry,What is the standard temperature in Kelvin?,0,100,273,373,c
SCIENCE,Biology,Which animal has the largest brain relative to body size?,Elephant,Dolphin,Human,Blue whale,c
SCIENCE,Physics,Which particle is not part of an atom's nucleus?,Proton,Neutron,Electron,All are in nucleus,c
SCIENCE,Biology,How many chromosomes do humans normally have?,23,46,64,92,b
SCIENCE,Chemistry,"According to Boyle's law, at constant temperature:",Pressure ∝ Volume,Pressure ∝ 1/Volume,Volume ∝ Temperature,Pressure ∝ Temperature,b
SCIENCE,Chemistry,What type of bond forms between sodium and chlorine in NaCl?,Covalent,Ionic,Metallic,Hydrogen,b
SCIENCE,Physics,The first law of thermodynamics is essentially a statement of:,Conservation of energy,Entropy,Heat engines,Temperature scales,a
SCIENCE,Chemistry,What is the product when an acid reacts with a base?,Salt and water,Hydrogen gas,Carbon dioxide,Alcohol,a
SCIENCE,Biology,What is the largest organ in the human body?,Liver,Brain,Skin,Lung,c
SCIENCE,Chemistry,Which metal is commonly used as the anode in dry cells?,Copper,Silver,Zinc,Gold,c
SCIENCE,Physics,Which electromagnetic wave has the longest wavelength?,Radio waves,Microwaves,X-rays,Gamma rays,a
