ID,Question,Option A,Option B,Option C,Option D,Correct Option,Timer,explaination
1,Which state of matter has definite volume but no definite shape?,Solid,Liquid,Gas,Plasma,B,45,No explaination given
2,What is the product when an acid reacts with a base?,Salt and water,Hydrogen gas,Carbon dioxide,Alcohol,A,45,No explaination given
3,Which molecule has a double covalent bond?,H2,O2,N2,CH4,B,45,No explaination given
4,What is the standard temperature in Kelvin?,0,100,273,373,C,45,No explaination given
5,What color does litmus paper turn in acid?,Red,Blue,Green,Yellow,A,45,No explaination given
6,What is the general formula for alkanes?,CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,B,45,No explaination given
7,"According to Boyle's law, at constant temperature:",Pressure ∝ Volume,Pressure ∝ 1/Volume,Volume ∝ Temperature,Pressure ∝ Temperature,B,45,No explaination given
8,What type of bond forms between sodium and chlorine in NaCl?,Covalent,Ionic,Metallic,Hydrogen,B,45,No explaination given
9,Which metal is commonly used as the anode in dry cells?,Copper,Silver,Zinc,Gold,C,45,No explaination given
10,Which type of bond involves the sharing of electron pairs between atoms?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,B,45,No explaination given
11,What is the pH of a neutral solution?,0,7,14,10,B,45,No explaination given
12,Which subatomic particle has a negative charge?,Proton,Neutron,Electron,Positron,C,45,No explaination given
13,Which of these is a strong acid?,Acetic acid,Citric acid,Hydrochloric acid,Carbonic acid,C,45,No explaination given
14,Which group in the periodic table contains the noble gases?,Group 1,Group 2,Group 17,Group 18,D,45,No explaination given
15,What is the process called when a solid turns directly into a gas?,Melting,Freezing,Sublimation,Deposition,C,45,No explaination given
16,"In an exothermic reaction, heat is:",Absorbed,Released,Destroyed,Created,B,45,No explaination given
17,Which functional group defines an alcohol?,#NAME?,#NAME?,#NAME?,0,B,45,No explaination given
18,What is the maximum number of electrons that can occupy the third energy level?,2,8,18,32,C,45,No explaination given
19,What type of reaction is represented by: AB → A + B?,Synthesis,Decomposition,Single replacement,Double replacement,B,45,No explaination given
20,Which of these is a halogen?,Neon,Iron,Chlorine,Calcium,C,45,No explaination given
21,What is the oxidation state of oxygen in most compounds?,-2,-1,1,2,A,45,No explaination given
