id,Question,optionA,optionB,optionC,optionD,correct_option,Time,Explanation
1,Which bank became India's most-valued Public Sector Unit (PSU) in terms of market valuation?,State Bank of India,Punjab National Bank,Union Bank of India,Reserve Bank of India,A,45,"State Bank of India (SBI) become the country's most valuable public sector unit (PSU), in terms of market valuation."
2,Identify the English businesswoman and fashion designer who was recently appointed the Officer of the Order of the British Empire.,Samantha Cameron,Victoria Beckham,Michelle Dewberry,None of the above,B,45,Victoria Beckham on 19 April 2017 was appointed the Officer of the Order of the British Empire (OBE) for services to the fashion industry.
3,Prime Minister Narendra Modi will inaugurate the Day of Vesak in Sri Lanka. The day is celebrated on which date?,12-May,13-May,14-May,15-May,A,45,"Prime Minister Narendra Modi will inaugurate the14th United Nations Day of Vesak celebration in Sri Lanka on May 12 under the theme 'Buddha's Teachings, Social Justice and Sustainable World Peace', Minister of Justice and Buddhasasana"
4,The Civil Services Day (CSD) is celebrated on which day in India?,20-Apr,21-Apr,18-Apr,27-Apr,B,45,"The Civil Services Day is organized on 21st April every year, when civil servants re-dedicate themselves to the cause of the citizens and renew their commitment to public service. This day coincides with the date on which SardarVallabhbhai Patel had addressed the first batch of probationers at the All India Administrative Service Training School at Metcalfe House, New Delhi in 1947."
5,Which e-tailer has acquired logistics start-up InLogg to smooth its delivery process?,Jabong,Myntra,Flipkart,Snapdeal,B,45,"Flipkart-owned fashion e-tailer Myntra has acqui-hired logistics startup InLogg, which is operated by InLogg Intenet Pvt. Ltd, to help solve delivery inefficiencies in terms of cost and reach, it said in a statement."
6,Who is the author of the book One Part Woman that in recent past was chosen for Sahitya Akademi's award for translation in English?,Aniruddhan Vasudevan,Ashwani Kumar,Anand Neelakanthan,Yasser Usman,A,45,The English translation of writer Perumal Murugan's novel Mathorubhagan (One Part Woman) has won the Sahitya Akademi's award for translation in English. The translation was done by Aniruddhan Vasudevan and the book was published by Penguin.
7,Who is nominated for the prestigious Raj Kapoor Lifetime achievement award of the Maharashtra Government?,Vikram Gokhale,Amitabh Bachchan,Saira Banu,Jackie Shroff,C,45,"Veteran actress Saira Banu and actor Jackie Shroff have been named for the prestigious Raj Kapoor Lifetime Achievement and Raj Kapoor Special Contribution annual awards, respectively, by the Maharashtra government"
8,Which country abolished its 457 Visa programme which is used largely by Indians?,Canada,Australia,New Zealand,UAE,B,45,"The programme, known as 457 visa, allows business to employ foreign workers for a period up to four years in skilled jobs where there is a shortage of Australian workers."
9,Which city will host the main event of the International Day of Yoga (IDY) celebrations in June 2017?,Karnal,Bhopal,Lucknow,Bengaluru,C,45,"Lucknow, the city of Nawabs, has been finalised to host the main event of the International Day of Yoga (IDY) celebrations. A team of Ayush Ministry officials visited Lucknow and shortlisted Ramabai Ambedkar Maidan, Baudh Vihar Shanti Upvan and Janeshwar Mishra Park as possible venues for the third edition of IDY."
10,Which Indian made it to the Times 100 Influential People list of 2017?,Mukesh Ambani,Anil Ambani,Narendra Modi,Kapil Sharma,C,45,Prime Minister Narendra Modi and Paytm founder Vijay Shekhar Sharma were the only two Indians to make it to an annual list of '100 most influential people in the world' this year released by the Time magazine
11,Which airline became the world's first airline to adopt new satellite-based airplane tracking system?,Malaysia Airlines,Japan Airlines,Singapore Airlines,Asiana Airlines,A,45,"Malaysia Airlines is first to sign up to a new service that will track its airplanes anywhere in the world using orbiting satellites. The company's planes will be tracked minute-by-minute using the new system, which boasts complete worldwide coverage,even over ""ocean, polar, and remote regions""."
12,"A set of four rare stamps, featuring the portrait of Mahatma Gandhi was auctioned in UK at highest price ever paid for Indian stamps. These stamps were sold at what price?",1 lakh pounds,3 lakh pounds,5 lakh pounds,7 lakh pounds,C,45,"A set of four rare stamps featuring with portraits of Mahatma Gandhi has been sold for a record &pound;500,000 at an auction in the UK. The Indian stamps were particularly rare owing to the fact they were in a set of four."
13,"Which report was published by the World Wide Fund for Nature (WWF) to highlight that nearly 30% of World Heritage Sites are plagued by poaching, illegal logging and fishing?",Save the Heritage,Heritage Species,Heritage Action,Not For Sale,D,45,"Not For Sale is published by the World Wide Fund for Nature (WWF), nearly 30% of World Heritage Sites are plagued by poaching, illegal logging and fishing."
14,Which country's former president has been disqualified from running in the upcoming presidential elections?,France,Iran,India,Germany,B,45,"Iran's former President Mahmoud Ahmadinejad has been disqualified from running in next month's presidential election. The decision was taken by the Guardian Council, a clerical body charged with vetting candidates for the May 19 election."
15,The high court judges of which state have decided to give up the red beacon lights much before the set deadline?,Delhi,Maharashtra,Tamil Nadu,Uttar Pradesh,A,45,Chief Justice J S Khehar set an example for other judges by implementing on Thursday the Centre's decision to curb VIP culture by banning use of red beacon atop official cars irrespective of the Constitutional post.
16,"Dr Bhakti Yadav, popularly known as Doctor Didi, was recently presented with Padma Shri award at her residence to recognise her service to the poor. Which state does she belong to?",Maharashtra,Uttar Pradesh,Madhya Pradesh,Odisha,C,45,"Dr Bhakti Yadav, the first woman doctor from Indore, was conferred the award in recognition of her service to the poor. She is the first female MBBS doctor from Indore and her inspiring spirit to serve patients till her last breath is laudable."
17,"Which state government is planning to set up ""Book Banks"" in schools to provide old books to needy students?",Punjab,Gujarat,Uttar Pradesh,Rajasthan,A,45,"Chandigarh, The Punjab government has decided to set up book banks in different schools so that needy students do not have to buy books at the start of every academic year and also to prevent ""wastage of paper""."
18,Name the state whose Chief Minister ordered a review of the prestigious Yash Bharti Awards that were started by the previous government.,Punjab,Uttar Pradesh,Manipur,Uttarakhand,B,45,"Uttar Pradesh chief minister Yogi Adityanath has ordered a review of the Yash Bharti awards conferred on personalities from various fields during the previous Samajwadi Party regime. The tradition of giving away the honour which includes a cash award of Rs 11 lakh and Rs 50,000 in monthly lifetime pension."
19,Parliament of this country in April 2017 decided to transfer the control of royal agencies from the government to the new King Maha Vajiralongkorn.,Myanmar,Thailand,North Korea,United Arab Emirates,B,45,The Parliament of Thailand on 20 April 2017 agreed to transfer control of royal agencies from the government to the new King Maha Vajiralongkorn. Members of the military-appointed legislature said that the decision was taken in a confidential session.
20,The UN Chinese Language Day is observed on which date?,Apr-23,Apr-20,Apr-21,Apr-22,B,45,"The UN Chinese Language Day is observed every year on April 20 by the United Nations Educational, Scientific and Cultural Organization (UNESCO) to raise awareness and respect for the history, culture and achievements of each of the six official languages of the world body. April 20 was chosen as the date for the Chinese language to pay tribute to Cang Jie, a mythical figure who is presumed to have invented Chinese characters about 5,000 years ago."
21,Which country to host 2017 BRICS Film Festival?,Russia,South Africa,China,India,C,45,"The 2017 BRICS Film Festival will be held in Chengdu, southwest China's Sichuan Province from June 23 to 27. During the festival, 30 films from BRICS countries (Brazil, Russia, India, China and South AfricA) will be screened, including an anthology by five directors from the aforementioned countries, ""Where has the time gone"". The feature film consisting of five 18-minute shorts on the same theme is a joint work by Walter Salles from Brazil, Aleksey Fedorchenko from Russia, Madhur Bhandarkar from India, Jahmil X. T. Qubeka from South Africa, and Jia Zhangke from China."
22,Giuseppina Nicolini has been honoured with the 2017 Felix Houphouet Boigny Peace Prize. She hails from which country?,Italy,France,Germany,Norway,A,45,"The 2017 Felix Houphouet-Boigny Peace Prize has been awarded to Giuseppina Nicolini, Mayor of Lampedusa (Italy) and to the nongovernmental organization 'SOS Mediterranee (France)' for their work to save the lives of refugees and migrants and welcome them with dignity. SOS Mediterranee is a civic, European organization for the rescue of people in distress in the Mediterranean. The prize includes a cheque of USD 150,000, a gold medal and a peace diploma."
23,Which country to host the first-ever World Ocean Festival (WOF)?,England,Japan,India,United States,D,45,"The first-ever World Ocean Festival (WOF) will be held in New York City, United States from June 4, 2017, which will be organized by the Global Brian Foundation (GBF). As part of the festival, activists and enthusiasts will take to the streets and waterways of New York City to raise their voices to reverse the declining health of our oceans."
24,Which Indian cricketer will be honoured with the 75th Master Dinanath Mangeshkar award for his outstanding contribution to Indian Cricket?,Gundappa Viswanath,Sunil Gavaskar,Kapil Dev,Ravi Shastri,C,45,"The cricket icon Kapil Dev will be honoured with the 75th Master Dinanath Mangeshkar award on April 24, 2017 for his outstanding contribution to Indian Cricket. Beside this, Actor Aamir Khan will be honoured with the Vishesh Puraskar for Best Film ""Dangal"". Apart from this, legendary actress Vyjayanthimala Bali will be honoured with Master Dinanath Vishesh Puraskar for her achievements in Hindi cinema."
